ID;Disciplina;Assunto;Assertiva;Gabarito;comentario;Assunto_Novo;Assunto_Corrigido
95;direiro previdenciário;Auxílio-Acidente;Sempre que um segurado receber auxílio-acidente, esse benefício não poderá ser computado ou somado aos seus salários de contribuição caso futuramente venha a pleitear uma aposentadoria, para evitar acúmulo de vantagens.;E;O valor mensal do auxílio-acidente DEVE ser somado ao salário de contribuição no momento do cálculo do salário de benefício de qualquer aposentadoria (art. 34 da Lei 8.213), respeitando-se o teto previdenciário.;Auxílio-Acidente;Auxílio-Acidente
96;direiro previdenciário;Do Cálculo do Valor do Benefício;Com a adoção do acréscimo de 2% por ano adicional de contribuição, tornou-se possível que a Renda Mensal Inicial das aposentadorias programadas ultrapasse a casa dos 100% do salário de benefício, desde que limitado ao teto previdenciário.;C;Se um homem contribuir por mais de 40 anos ou uma mulher por mais de 35, o coeficiente superará os 100% (ex: 102%, 110%), sendo perfeitamente lícito pela nova regra, limitando-se apenas ao teto máximo do RGPS.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
97;direiro previdenciário;Carência;Foram recentemente incluídos na lista de doenças que isentam os segurados de cumprirem carência para os benefícios por incapacidade o acidente vascular encefálico (agudo) e o abdome agudo cirúrgico, desde que obedeçam aos critérios de evolução aguda e gravidade.;C;Essas duas condições (AVE agudo e abdome agudo cirúrgico) foram acrescidas à lista de isenção de carência através da Portaria Interministerial MTP/MS nº 22/2022.;Carência;Carência
98;direiro previdenciário;Das Inscrições (RGPS);O reajuste dos benefícios previdenciários de prestação continuada ocorre com base na variação do salário-mínimo nacional, visto que a Constituição Federal exige expressamente a vinculação do piso para preservar o poder de compra do aposentado.;E;A Constituição Federal, em seu art. 7º, IV, proíbe a vinculação ao salário mínimo para qualquer fim. O reajuste visa repor as perdas inflacionárias mantendo o valor real e utiliza o índice INPC.;Tópicos Mesclados / Outros (Previdenciário);Das Inscrições (RGPS)
99;direiro previdenciário;Da Arrecadação e Recolhimento das Contribuições;Para o contribuinte individual que presta serviço à empresa (tendo sua contribuição retida por esta), a presunção do recolhimento para o cômputo da carência ocorre mesmo que a tomadora não repasse os valores ao Governo, regra válida desde abril de 2003.;C;Os CI prestadores de serviço à pessoa jurídica gozam de recolhimento presumido desde a MP nº 83/2002 (competência abril/2003), contando o período como tempo e carência, bastando comprovar a prestação do serviço.;Da Arrecadação e Recolhimento das Contribuições;Da Arrecadação e Recolhimento das Contribuições
100;direiro previdenciário;Contribuinte Individual (RGPS);A carência para os segurados contribuinte individual (que recolhe por conta própria) e para o segurado facultativo começa a ser contada no exato momento da filiação ou inscrição formal no sistema, sem a necessidade de pagamento prévio.;E;Para o CI que recolhe por conta própria e para o facultativo, a lei é clara ao prever que o período de carência só é contado a partir da data do EFETIVO recolhimento da primeira contribuição sem atraso.;Contribuinte Individual (RGPS);Contribuinte Individual (RGPS)
101;direiro previdenciário;Auxílio por Incapacidade Temporária;O auxílio por incapacidade temporária não será concedido ao segurado recluso em regime fechado, entretanto, o segurado recluso em cumprimento de pena em regime aberto ou semiaberto poderá ter direito ao benefício se preencher os demais requisitos legais.;C;A legislação previdenciária veda o recebimento do auxílio por incapacidade temporária apenas para o segurado recolhido à prisão em regime fechado, mantendo-se o direito para os regimes aberto e semiaberto.;Auxílio por Incapacidade Temporária;Auxílio por Incapacidade Temporária
102;direiro previdenciário;Dos Dependentes (RGPS);O acidente vascular encefálico (agudo) e o abdome agudo cirúrgico isentam o segurado do cumprimento da carência para os benefícios por incapacidade, independentemente de apresentarem quadro de evolução aguda ou critérios de gravidade.;E;Conforme a Portaria Interministerial MTP/MS nº 22/2022, essas afecções só isentam de carência se apresentarem, obrigatoriamente, quadro de evolução aguda e atenderem a rigorosos critérios de gravidade.;Dos Dependentes (RGPS);Dos Dependentes (RGPS)
103;direiro previdenciário;Segurado Especial (RGPS);Para o segurado especial que não contribui de forma facultativa, a carência exigida para o auxílio por incapacidade temporária é a comprovação de 12 meses de efetivo exercício na atividade rural, imediatamente anteriores ao início da incapacidade.;C;"O segurado especial, ao contrário dos demais, não comprova sua carência por meio de um ""número mínimo de contribuições"" recolhidas, mas sim pela comprovação de meses de efetivo labor rural (no caso, 12 meses).";Segurado Especial (RGPS);Segurado Especial (RGPS)
104;direiro previdenciário;Do Cálculo do Valor do Benefício;A renda mensal inicial do auxílio por incapacidade temporária corresponde a 91% do salário de benefício, não podendo exceder a média aritmética simples dos últimos 12 salários de contribuição existentes.;C;O Decreto nº 3.048/99 estabelece esse teto limitador (média dos últimos 12 salários) para evitar que o benefício seja concedido em valor muito superior à renda atual do trabalhador afastado.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
105;direiro previdenciário;Empregado Doméstico (RGPS);A legislação estabelece que os 15 primeiros dias do afastamento serão pagos a título de salário pelo empregador. Tal regra abrange tanto o segurado empregado celetista quanto o empregado doméstico, cabendo ao INSS o pagamento apenas a partir do 16º dia para ambos.;E;O empregador doméstico NÃO tem o dever de pagar os 15 primeiros dias do afastamento do seu empregado. Se requerido em até 30 dias, o auxílio por incapacidade temporária do doméstico será pago pelo INSS desde o primeiro dia de incapacidade.;Empregado Doméstico (RGPS);Empregado Doméstico (RGPS)
106;direiro previdenciário;Segurado Especial (RGPS);O auxílio-acidente será devido, a título de indenização, aos segurados empregado, empregado doméstico, trabalhador avulso e segurado especial, não abrangendo o contribuinte individual e o segurado facultativo.;C;O contribuinte individual e o facultativo são excluídos do rol legal de beneficiários do auxílio-acidente. (Atenção: O doméstico foi incluído pela LC nº 150/2015).;Segurado Especial (RGPS);Segurado Especial (RGPS)
107;direiro previdenciário;Auxílio-Acidente;Como o auxílio-acidente possui natureza estritamente indenizatória e não se propõe a substituir a remuneração do trabalho, seu valor pode, validamente, ser inferior a 1 salário mínimo.;C;O princípio constitucional de que nenhum benefício substitutivo da renda do trabalho terá valor inferior ao salário mínimo não se aplica a benefícios indenizatórios como o auxílio-acidente.;Auxílio-Acidente;Auxílio-Acidente
108;direiro previdenciário;Assistência Social (LOAS/BPC);O recebimento de auxílio-acidente pode ser validamente cumulado com o benefício assistencial de prestação continuada (BPC-LOAS), vez que a lei abre exceção para benefícios de natureza estritamente indenizatória.;E;"A lei do BPC/LOAS só admite cumulação com assistência médica e ""pensão de natureza indenizatória"". Embora o auxílio-acidente tenha natureza indenizatória, ele não é uma pensão, sendo expressamente vedada a cumulação.";Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
109;direiro previdenciário;Auxílio por Incapacidade Temporária;É admitida a acumulação do recebimento de auxílio-acidente com um novo auxílio por incapacidade temporária, desde que a causa geradora deste novo afastamento não seja a mesma lesão/doença que ensejou o auxílio-acidente.;C;Se a causa do afastamento for diferente, o segurado recebe os dois. Contudo, se a causa for a mesma do acidente originário, o auxílio-acidente ficará suspenso durante o recebimento do novo auxílio por incapacidade temporária.;Auxílio por Incapacidade Temporária;Auxílio por Incapacidade Temporária
110;direiro previdenciário;Do Cálculo do Valor do Benefício;Após a Lei nº 9.528/97, foi extinta a possibilidade de cumular auxílio-acidente com aposentadoria. Com isso, ao se aposentar, o segurado tem o auxílio-acidente cessado, mas os valores recebidos a esse título integram o cálculo do salário de benefício da aposentadoria.;C;A cumulação é vedada, porém o art. 34, II da Lei 8.213/91 garante que o montante do auxílio-acidente seja somado ao salário de contribuição no momento de calcular a aposentadoria.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
111;direiro previdenciário;Do Cálculo do Valor do Benefício;A doença ou lesão de que o segurado já era portador antes de se filiar ao RGPS jamais lhe conferirá direito à aposentadoria por incapacidade permanente, nem mesmo nos casos de progressão ou agravamento da enfermidade após o seu ingresso no sistema.;E;A lei abre uma exceção explícita: se a incapacidade decorrer de progressão ou agravamento da doença preexistente ocorrida APÓS o ingresso no RGPS, o benefício por incapacidade poderá ser validamente concedido.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
112;direiro previdenciário;Aposentadoria por Incapacidade Permanente;A concessão da aposentadoria por incapacidade permanente depende da obrigatoriedade do gozo prévio de auxílio por incapacidade temporária por um período mínimo, visando à tentativa prévia de reabilitação.;E;A aposentadoria por incapacidade permanente não precisa, necessariamente, vir precedida de auxílio por incapacidade temporária. Caso o segurado já se encontre irreversivelmente incapaz de forma imediata (ex: tetraplegia severa em acidente), ele poderá receber a aposentadoria diretamente.;Aposentadoria por Incapacidade Permanente;Aposentadoria por Incapacidade Permanente
113;direiro previdenciário;Do Cálculo do Valor do Benefício;Com as regras da Emenda Constitucional nº 103/2019, o coeficiente da renda mensal inicial da aposentadoria por incapacidade permanente previdenciária (não acidentária) de um homem que possua 22 anos de tempo de contribuição será de 64% do seu salário de benefício.;C;O cálculo base é de 60%, acrescido de 2% para cada ano que exceder 20 anos de contribuição para homens. Como ele tem 22 anos (2 anos acima do limite), ganha +4%, totalizando 64%.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
114;direiro previdenciário;Dos Dependentes (RGPS);Caso o segurado se torne permanentemente incapaz por força de um acidente de trabalho, sua aposentadoria por incapacidade permanente acidentária garantirá uma renda mensal inicial equivalente a 100% de seu salário de benefício, independentemente do tempo de contribuição.;C;Diferente da aposentadoria não acidentária, se a invalidez decorrer de acidente do trabalho ou doença profissional/do trabalho, a Reforma da Previdência manteve a alíquota em 100% do salário de benefício.;Dos Dependentes (RGPS);Dos Dependentes (RGPS)
115;direiro previdenciário;Do Salário-de-Contribuição;O acréscimo de 25% garantido ao aposentado por incapacidade permanente que necessita de assistência de terceiros (auxílio-acompanhante) poderá fazer com que o benefício supere validamente o limite máximo (teto) do salário de contribuição do RGPS.;C;O acréscimo legal de 25% devido em razão da grande invalidez (necessidade de terceiros) é a única exceção legal que permite ao benefício da Previdência Social ultrapassar licitamente o teto do RGPS.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
116;direiro previdenciário;Aposentadoria por Incapacidade Permanente;"De acordo com o STF, o acréscimo do ""auxílio-acompanhante"" (25%) garantido na aposentadoria por incapacidade permanente pode ser estendido por via judicial às outras aposentadorias (ex: aposentadoria por idade) caso o idoso fique gravemente doente e dependa de terceiros.";E;Em tese de repercussão geral (Tema 1095), o STF decidiu que o adicional de 25% é estritamente limitado à aposentadoria por incapacidade permanente, não podendo ser estendido judicialmente às demais espécies de aposentadorias.;Aposentadoria por Incapacidade Permanente;Aposentadoria por Incapacidade Permanente
117;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);Na chamada 'mensalidade de recuperação', se o aposentado por incapacidade permanente recuperar de forma parcial a sua capacidade após 5 anos de benefício, ele continuará recebendo o benefício: por 6 meses no valor integral, 6 meses com redução de 50%, e os últimos 6 meses com redução de 75%.;C;"Exatamente como prescreve a legislação para a recuperação parcial (ou retorno à atividade diversa). O benefício ""desmame"" durará um total de 18 meses, dividido em 3 parcelas semestrais de decréscimo.";Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
118;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);O segurado aposentado por incapacidade permanente fica isento, sem exceções, de realizar exame médico-pericial periódico de revisão (pente-fino) caso tenha completado 60 anos de idade, sob pena de violação ao Estatuto do Idoso.;E;"Não é ""sem exceções"". A isenção dos 60 anos cai (ou seja, ele deve fazer a perícia sim) se o objetivo for verificar fraude, conceder curatela, apurar o adicional de 25% ou se o próprio segurado pedir para retornar ao trabalho.";Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
119;direiro previdenciário;Do Salário-de-Contribuição;É direito do segurado aposentado por incapacidade permanente que retorne voluntariamente à atividade remunerada manter o recebimento simultâneo do benefício e do seu novo salário de contribuição por até 12 meses.;E;O benefício não é vitalício. Caso o segurado retorne voluntariamente à atividade, presume-se que recuperou a capacidade laboral, de modo que a aposentadoria será automaticamente cancelada.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
120;direiro previdenciário;Da Manutenção e da Perda da Qualidade de Segurado;"O auxílio-acidente será devido caso a lesão consolidada decorrente de um acidente de qualquer natureza ocorra enquanto o trabalhador encontra-se desempregado, desde que ele ainda esteja dentro do ""período de graça"" (manutenção da qualidade de segurado).";C;Conforme o Decreto nº 3.048/99 (art. 104, §7º), se o infortúnio ocorrer durante o período de manutenção da qualidade de segurado (período de graça), o indivíduo terá direito ao benefício, respeitadas as categorias legais que fazem jus.;Da Manutenção e da Perda da Qualidade de Segurado;Da Manutenção e da Perda da Qualidade de Segurado
121;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;O segurado do Regime Geral de Previdência Social que completou integralmente os requisitos de idade e tempo de contribuição na véspera da entrada em vigor da Emenda Constitucional nº 103/2019 não poderá mais se aposentar pelas regras antigas, submetendo-se obrigatoriamente à nova aposentadoria programada.;E;A EC nº 103/2019 assegura expressamente o direito adquirido aos segurados que completaram os requisitos antes de 13/11/2019. Eles poderão se aposentar sob a regra anterior, em observância ao princípio tempus regit actum.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
122;direiro previdenciário;Do Cálculo do Valor do Benefício;Para um segurado do sexo masculino que possua 22 anos de tempo de contribuição, a Renda Mensal Inicial (RMI) de sua aposentadoria programada corresponderá a 64% do seu salário de benefício, respeitado o teto do RGPS.;C;Para os homens, o cálculo base de 60% recebe o acréscimo de 2% para cada ano que exceder 20 anos de contribuição. Como ele tem 22 anos, excede em 2 anos (2 x 2% = 4%). Logo, a RMI será de 64% limitados ao teto previdenciário.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
123;direiro previdenciário;Do Cálculo do Valor do Benefício;Na apuração do salário de benefício da aposentadoria programada, é autorizada a exclusão (descarte) das contribuições que resultem em redução do valor do benefício, contudo, é expressamente vedada a utilização do tempo destas contribuições descartadas para fins de contagem em outro regime previdenciário.;C;De acordo com o §27 do art. 32 do Decreto 3.048/99, as contribuições descartadas não podem ser usadas para nenhuma finalidade, nem para aumentar a RMI, nem para somatório de pontos, tampouco para averbação em outro regime.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
124;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;A concessão de aposentadoria requerida a partir da Reforma da Previdência utilizando-se exclusivamente de tempo de contribuição da iniciativa privada acarreta de forma imediata e automática o rompimento do contrato de trabalho com a empresa.;E;O rompimento do vínculo (determinado pela EC 103/2019 e art. 153-A do RPS) ocorre apenas quando a aposentadoria é concedida com a utilização de tempo de contribuição decorrente de cargo, emprego ou função PÚBLICA. Na iniciativa privada, o aposentado pode continuar no emprego.;Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
125;direiro previdenciário;Legislação Previdenciária;A legislação previdenciária estabelece que as aposentadorias concedidas pelo RGPS são irrenunciáveis; no entanto, o segurado poderá desistir validamente do pedido de aposentadoria desde que o faça antes do recebimento do primeiro pagamento do benefício ou antes do saque do FGTS ou PIS.;C;Legislação Previdenciária;Legislação Previdenciária
126;direiro previdenciário;Auxílio por Incapacidade Temporária;O aposentado pelo RGPS que continuar exercendo atividade remunerada sujeita ao regime será segurado obrigatório e fará jus aos benefícios de salário-família, reabilitação profissional, salário-maternidade e auxílio por incapacidade temporária (em caso de doença que perdure por mais de 15 dias).;E;O aposentado que retorna ou continua na atividade tem direito estritamente ao salário-família, salário-maternidade e reabilitação profissional. A legislação proíbe a cumulação de aposentadoria com o auxílio por incapacidade temporária (auxílio-doença).;Auxílio por Incapacidade Temporária;Auxílio por Incapacidade Temporária
127;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);A idade mínima exigida para a aposentadoria programada do professor que atua na educação infantil, ensino fundamental e ensino médio é reduzida em 5 anos, exigindo-se, portanto, 60 anos para os homens e 57 anos para as mulheres, mediante comprovação de 25 anos de magistério.;C;Conforme a EC 103/2019, a regra específica para os professores do ensino básico exige 25 anos de tempo de contribuição em ambos os sexos, reduzindo a idade geral para 60 anos (homens) e 57 anos (mulheres).;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
128;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);O professor de curso de ensino superior (universidade) e o professor de cursos livres profissionalizantes enquadram-se na redução de 5 anos nos requisitos de idade concedidos aos trabalhadores de magistério.;E;A redução se destina única e exclusivamente ao professor da educação infantil, do ensino fundamental e do ensino médio. O professor do ensino superior sujeita-se às regras normais da aposentadoria programada comum.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
129;direiro previdenciário;Do Cálculo do Valor do Benefício;Na aposentadoria programada do professor, caso uma professora mulher possua 25 anos de efetivo exercício no magistério e atinja os 57 anos de idade, a sua Renda Mensal Inicial será fixada em 80% do salário de benefício.;C;Na regra feminina, o acréscimo de 2% ao ano incide sobre os anos de contribuição que superem 15 anos. Com 25 anos de contribuição, ela ultrapassa 10 anos da base (10 x 2% = 20%). A soma aos 60% iniciais resulta em 80% do salário de benefício.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
130;direiro previdenciário;Contribuinte Individual (RGPS);A aposentadoria especial é um benefício de natureza estritamente protetiva que abrange apenas os segurados da categoria de empregados e os trabalhadores avulsos do Regime Geral de Previdência Social, não se aplicando em nenhuma hipótese ao contribuinte individual.;E;O benefício não se restringe a essas duas categorias. O contribuinte individual também possui direito à aposentadoria especial, MAS, somente no caso exclusivo de ser cooperado filiado a cooperativa de trabalho ou de produção.;Contribuinte Individual (RGPS);Contribuinte Individual (RGPS)
131;direiro previdenciário;Aposentadoria Especial;Com a promulgação da Reforma da Previdência em 2019, o legislador passou a exigir cumulativamente tempo de contribuição em condições nocivas e uma idade mínima (55, 58 ou 60 anos) para a concessão da aposentadoria especial.;C;A grande inovação da EC 103/2019 na aposentadoria especial foi abolir o direito à aposentadoria calcada exclusivamente no tempo de serviço, inserindo a exigência de idade mínima cumulativa com o tempo de 15, 20 ou 25 anos.;Aposentadoria Especial;Aposentadoria Especial
132;direiro previdenciário;Do Cálculo do Valor do Benefício;O segurado homem que trabalhar por 15 anos exposto à atividade nociva no interior de mina subterrânea (frente de produção) terá sua Renda Mensal Inicial equivalente a 60% da média aritmética, já que o adicional de 2% não incide em sua categoria de aposentadoria.;E;O adicional incide sim. A regra é peculiar: na aposentadoria especial restrita a 15 anos de efetiva exposição, o acréscimo de 2% por ano adicional recai para cada ano que exceder a marca de 15 anos de contribuição, e não 20 anos, tanto para os homens quanto para as mulheres.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
133;direiro previdenciário;Aposentadoria Especial;A percepção contínua do adicional de insalubridade, devidamente pago pela empresa conforme os preceitos da legislação trabalhista, constitui prova absoluta do exercício de atividade sob condições especiais apta a ensejar a aposentadoria especial previdenciária.;E;As lógicas previdenciária e trabalhista são distintas. Apenas receber o adicional de insalubridade não é suficiente e nem necessário. O enquadramento previdenciário depende da análise técnica por LTCAT e formulário PPP demonstrando a não eliminação/neutralização da nocividade do agente.;Aposentadoria Especial;Aposentadoria Especial
134;direiro previdenciário;Aposentadoria Especial;Se a empresa adotar o uso de Equipamento de Proteção Individual (EPI) que efetivamente neutralize a nocividade a que o trabalhador é submetido (reduzindo a exposição aos limites de tolerância previstos), ficará descaracterizada a atividade como especial para fins previdenciários.;C;De acordo com o §1º do art. 64 do Decreto 3.048/99 e decisões dos tribunais superiores, havendo a comprovação técnica no LTCAT/PPP de que o EPI é plenamente eficaz na neutralização ou eliminação do risco prejudicial à saúde, afasta-se o direito à aposentadoria especial.;Tópicos Mesclados / Outros (Previdenciário);Aposentadoria Especial
135;direiro previdenciário;Saúde (SUS);Tendo recebido aposentadoria especial, caso o segurado retorne a laborar em qualquer atividade que o exponha a agentes agressivos à saúde ou à integridade física (mesmo em área diferente daquela que o aposentou), o seu benefício será cessado pelo INSS após regular notificação.;C;O aposentado especial pode até voltar a trabalhar, mas somente em área que NÃO seja considerada nociva. Se o retorno se der em ambiente especial (sujeito a agentes nocivos), seja o mesmo que gerou a aposentadoria ou outro distinto, o STF e a lei impõem o cancelamento do benefício.;Saúde (SUS);Saúde (SUS)
136;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);É vedada de forma absoluta a conversão de tempo exercido sob condições especiais em tempo comum no que diz respeito aos períodos trabalhados posteriormente a 13 de novembro de 2019.;C;A Emenda Constitucional nº 103/2019 vedou expressamente qualquer hipótese de conversão de tempo especial em comum para todo e qualquer trabalho insalubre ou perigoso que tenha ocorrido após o início da vigência da reforma (13/11/2019).;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
137;direiro previdenciário;Carência;A aposentadoria por idade rural não sofreu alterações em seus requisitos com a Reforma de 2019, exigindo-se para a sua concessão o tempo de carência de 180 meses associado à idade mínima de 60 anos para homens e de 55 anos para as mulheres.;C;Exato. As idades de 60 (M) e 55 (F) para trabalhadores rurais e garimpeiros em economia familiar restaram intactas na EC 103/2019.;Carência;Carência
138;direiro previdenciário;Assistência Social (LOAS/BPC);O trabalhador rural, o empregado rural e o garimpeiro em regime de economia familiar podem comprovar, de forma absoluta, o efetivo exercício de suas atividades rurais apenas por meio de uma Declaração emitida pelo Sindicato Rural da sua respectiva região.;E;As regras de comprovação mudaram. A Declaração do Sindicato Rural não figura mais como documento hábil isolado ou primário para este fim;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
139;direiro previdenciário;Segurado Especial (RGPS);A aposentadoria híbrida permite que o trabalhador some períodos como segurado especial rural aos seus períodos de contribuição urbana para completar o tempo de concessão; contudo, por ter mesclado tempos urbanos, esse segurado precisará completar a idade da aposentadoria programada urbana (65 M / 62 F).;C;Segurado Especial (RGPS);Segurado Especial (RGPS)
140;direiro previdenciário;Segurado Especial (RGPS);Para fins de concessão da aposentadoria por idade híbrida, o entendimento normativo fixado no regulamento da Previdência exige que o segurado deve, obrigatoriamente, estar exercendo atividade na condição de trabalhador rural no momento de efetivação do seu requerimento.;E;O §2º do art. 57 do Decreto 3.048/99 estabelece que o disposto sobre a aposentadoria híbrida aplica-se AINDA QUE, na oportunidade do requerimento administrativo do benefício, o segurado já não se encontre mais enquadrado na categoria de trabalhador rural.;Segurado Especial (RGPS);Segurado Especial (RGPS)
141;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;As regras de transição estipuladas pela Emenda Constitucional nº 103/2019 garantem a concessão com requisitos mais brandos para todos os trabalhadores, incluindo aqueles que se filiarem ao Regime Geral de Previdência Social (RGPS) a partir do ano de 2020.;E;As regras de transição aplicam-se estrita e exclusivamente aos segurados que JÁ ERAM filiados ao RGPS até a data de entrada em vigor da reforma, ou seja, até 13/11/2019. Quem se filiou após essa data submete-se direto às regras permanentes.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
142;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;A regra de transição do sistema de pontos exige que, além da pontuação mínima resultante da soma da idade e do tempo de contribuição, o segurado homem comprove, obrigatoriamente, 35 anos de tempo de contribuição mínimo prévio.;C;O sistema de pontos não excluiu a necessidade do tempo mínimo pré-Reforma. Exige-se cumulativamente atingir a pontuação exigida no ano e o tempo mínimo de contribuição de 35 anos (homens) ou 30 anos (mulheres).;Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
143;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;Para a aferição do alcance da regra de transição pelo sistema de pontos, a idade e o tempo de contribuição do segurado devem ser apurados em anos completos, desprezando-se as frações ou dias residuais.;E;O Decreto nº 3.048/99 estabelece que a idade e o tempo de contribuição serão apurados em DIAS para o cálculo do somatório de pontos, considerando-se todas as frações.;Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
144;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;Na regra de transição do sistema de pontos aplicável aos professores da educação básica, a pontuação exigida em 2019 começou em 81 (mulheres) e 91 (homens), aumentando anualmente sem qualquer limite ou teto máximo.;E;Há um limite máximo estabelecido no acréscimo anual de pontos para os professores: a exigência cessa ao atingir 92 pontos para as mulheres (em 2030) e 100 pontos para os homens (em 2028).;Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
145;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;A regra de transição da 'idade mínima progressiva' estipulou que, a partir de 2020, a idade exigida para aposentadoria por tempo de contribuição sofrerá um acréscimo de seis meses a cada ano, até estabilizar no limite de 65 anos para o homem e 62 anos para a mulher.;C;Exatamente. A idade iniciou em 61 (homens) e 56 (mulheres) em 2019 e sobe meio ano a cada ano, até alcançar o teto progressivo de 65 (H) e 62 (M).;Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
146;direiro previdenciário;Do Cálculo do Valor do Benefício;O valor da renda mensal inicial da aposentadoria calculada pelas regras de transição do 'sistema de pontos' e da 'idade mínima' corresponde a 60% da média salarial, com acréscimo de 2% para cada ano que exceder 20 anos de contribuição para homens e 15 anos para mulheres.;C;Tanto a regra dos pontos quanto a da idade mínima sujeitam-se à regra permanente de cálculo (coeficiente de 60% + 2% ao ano), não garantindo automaticamente os 100% da média salarial.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
147;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;A regra de transição da aposentadoria por idade manteve o tempo mínimo de contribuição em 15 anos para ambos os sexos, prestando-se a aumentar de forma progressiva em seis meses ao ano exclusivamente a idade mínima exigida da mulher, até que atinja 62 anos.;C;Na transição da aposentadoria por idade, os homens já mantinham a exigência de 65 anos e 15 de contribuição. Apenas a mulher sofreu aumento na idade (de 60 para 62 anos progressivamente).;Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
148;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;A regra de transição III (Aposentadoria por Idade), que exige 15 anos de contribuição associada a um limite etário, prevê redução de 5 anos na idade mínima para os professores com efetivo exercício exclusivo na educação básica.;E;"O material destaca expressamente que a 3ª Regra de Transição (Aposentadoria por Idade) ""não apresenta diferença para os professores"". Ela se aplica a todos os segurados sem distinção (não garantindo a redução extra de 5 anos como as outras regras).";Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
149;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;A regra de transição do 'pedágio de 50%' é aplicável exclusivamente aos segurados que, na data de 13/11/2019, estavam há menos de 2 anos de completar o tempo mínimo de 35 anos (homem) ou 30 anos (mulher) de contribuição.;C;Esta regra exige que, em 13/11/2019, o homem tivesse mais de 33 anos de contribuição e a mulher mais de 28 anos, sendo cobrado deles cumprir 50% do tempo que faltava para fechar a conta.;Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
150;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);Uma segurada que possuía 29 anos de contribuição e 48 anos de idade em 13/11/2019 poderá se aposentar pela regra do pedágio de 50% após recolher mais 1 ano e meio, sem precisar comprovar nenhuma idade mínima.;C;Na regra do pedágio de 50%, a lei NÃO exige idade mínima. Como faltava 1 ano para os 30, ela pagará esse 1 ano faltante + 50% do pedágio (6 meses) = 1,5 anos no total.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
